"scenario","name","country_code","period","sex","e0"
2,"Bulgaria",100,"1950-1955","Male",60.4
2,"Myanmar",104,"1950-1955","Male",35.9
2,"Burundi",108,"1950-1955","Male",39.6
2,"Belarus",112,"1950-1955","Male",57.1
2,"Cambodia",116,"1950-1955","Male",37.9
2,"Algeria",12,"1950-1955","Male",40.8
2,"Cameroon",120,"1950-1955","Male",33.9
2,"Canada",124,"1950-1955","Male",66.7
2,"Cape Verde",132,"1950-1955","Male",45.8
2,"Central African Republic",140,"1950-1955","Male",34.7
2,"Sri Lanka",144,"1950-1955","Male",54.3
2,"Chad",148,"1950-1955","Male",35.1
2,"Chile",152,"1950-1955","Male",52.4
2,"China",156,"1950-1955","Male",43.6
2,"Taiwan Province of China",158,"1950-1955","Male",54.9
2,"Colombia",170,"1950-1955","Male",47.9
2,"Comoros",174,"1950-1955","Male",36.1
2,"Congo",178,"1950-1955","Male",39.1
2,"Democratic Republic of the Congo",180,"1950-1955","Male",37.7
2,"Costa Rica",188,"1950-1955","Male",53.9
2,"Croatia",191,"1950-1955","Male",57.5
2,"Cuba",192,"1950-1955","Male",59.2
2,"Cyprus",196,"1950-1955","Male",54.3
2,"Czech Republic",203,"1950-1955","Male",63.9
2,"Benin",204,"1950-1955","Male",34.8
2,"Denmark",208,"1950-1955","Male",69.6
2,"Dominican Republic",214,"1950-1955","Male",43.4
2,"Ecuador",218,"1950-1955","Male",47.9
2,"El Salvador",222,"1950-1955","Male",41.6
2,"Equatorial Guinea",226,"1950-1955","Male",38
2,"Ethiopia",231,"1950-1955","Male",34.9
2,"Estonia",233,"1950-1955","Male",63.1
2,"Angola",24,"1950-1955","Male",34.8
2,"Fiji",242,"1950-1955","Male",50.1
2,"Finland",246,"1950-1955","Male",62.7
2,"France",250,"1950-1955","Male",64.1
2,"French Guiana",254,"1950-1955","Male",47.1
2,"French Polynesia",258,"1950-1955","Male",52.7
2,"Gabon",266,"1950-1955","Male",39.6
2,"Georgia",268,"1950-1955","Male",54.2
2,"Gambia",270,"1950-1955","Male",31.2
2,"Occupied Palestinian Territory",275,"1950-1955","Male",43.9
2,"Germany",276,"1950-1955","Male",64.8
2,"Ghana",288,"1950-1955","Male",42.2
2,"Kiribati",296,"1950-1955","Male",44.4
2,"Greece",300,"1950-1955","Male",64.5
2,"Azerbaijan",31,"1950-1955","Male",49.7
2,"Guadeloupe",312,"1950-1955","Male",48.8
2,"Argentina",32,"1950-1955","Male",59.6
2,"Guatemala",320,"1950-1955","Male",40.2
2,"Guinea",324,"1950-1955","Male",34.3
2,"Guyana",328,"1950-1955","Male",49.4
2,"Haiti",332,"1950-1955","Male",36.5
2,"Honduras",340,"1950-1955","Male",41.4
2,"Hong Kong Special Administrative Region of China",344,"1950-1955","Male",55.6
2,"Hungary",348,"1950-1955","Male",61.4
2,"Iceland",352,"1950-1955","Male",69.9
2,"India",356,"1950-1955","Male",42.8
2,"Australia",36,"1950-1955","Male",66.7
2,"Indonesia",360,"1950-1955","Male",39.6
2,"Iran (Islamic Republic of)",364,"1950-1955","Male",40.4
2,"Iraq",368,"1950-1955","Male",39.1
2,"Ireland",372,"1950-1955","Male",65.4
2,"Israel",376,"1950-1955","Male",67
2,"Italy",380,"1950-1955","Male",64.4
2,"Cote d'Ivoire",384,"1950-1955","Male",31.1
2,"Jamaica",388,"1950-1955","Male",56.7
2,"Japan",392,"1950-1955","Male",60.4
2,"Kazakhstan",398,"1950-1955","Male",51.9
2,"Afghanistan",4,"1950-1955","Male",27.9
2,"Austria",40,"1950-1955","Male",63.6
2,"Jordan",400,"1950-1955","Male",42.7
2,"Kenya",404,"1950-1955","Male",38.2
2,"Democratic People's Republic of Korea",408,"1950-1955","Male",19
2,"Republic of Korea",410,"1950-1955","Male",26.6
2,"Kuwait",414,"1950-1955","Male",48.3
2,"Kyrgyzstan",417,"1950-1955","Male",49
2,"Lao People's Democratic Republic",418,"1950-1955","Male",37.9
2,"Lebanon",422,"1950-1955","Male",59.9
2,"Lesotho",426,"1950-1955","Male",42.2
2,"Latvia",428,"1950-1955","Male",64.9
2,"Liberia",430,"1950-1955","Male",37.1
2,"Bahamas",44,"1950-1955","Male",57.9
2,"Lithuania",440,"1950-1955","Male",62.9
2,"Luxembourg",442,"1950-1955","Male",64.4
2,"Macao Special Administrative Region of China",446,"1950-1955","Male",58.7
2,"Madagascar",450,"1950-1955","Male",39.3
2,"Malawi",454,"1950-1955","Male",31.8
2,"Malaysia",458,"1950-1955","Male",47.5
2,"Maldives",462,"1950-1955","Male",36.3
2,"Mali",466,"1950-1955","Male",27.8
2,"Malta",470,"1950-1955","Male",61.5
2,"Martinique",474,"1950-1955","Male",53.6
2,"Bahrain",48,"1950-1955","Male",38.2
2,"Mauritius",480,"1950-1955","Male",49.2
2,"Mexico",484,"1950-1955","Male",44.6
2,"Mongolia",496,"1950-1955","Male",37.1
2,"Republic of Moldova",498,"1950-1955","Male",52.5
2,"Montenegro",499,"1950-1955","Male",58.3
2,"Bangladesh",50,"1950-1955","Male",39.7
2,"Morocco",504,"1950-1955","Male",38.7
2,"Mozambique",508,"1950-1955","Male",36.8
2,"Armenia",51,"1950-1955","Male",56.6
2,"Oman",512,"1950-1955","Male",28.8
2,"Namibia",516,"1950-1955","Male",40.5
2,"Nepal",524,"1950-1955","Male",37.5
2,"Netherlands",528,"1950-1955","Male",70.6
2,"Curaçao",531,"1950-1955","Male",60.2
2,"Aruba",533,"1950-1955","Male",55.7
2,"New Caledonia",540,"1950-1955","Male",47.9
2,"Vanuatu",548,"1950-1955","Male",44.5
2,"Central Asia",5500,"1950-1955","Male",51
2,"Southern Asia",5501,"1950-1955","Male",41.8
2,"New Zealand",554,"1950-1955","Male",67.6
2,"Nicaragua",558,"1950-1955","Male",40.6
2,"Belgium",56,"1950-1955","Male",65.1
2,"Niger",562,"1950-1955","Male",35.5
2,"Nigeria",566,"1950-1955","Male",34.9
2,"Norway",578,"1950-1955","Male",70.9
2,"Micronesia (Federated States of)",583,"1950-1955","Male",48.6
2,"Pakistan",586,"1950-1955","Male",38.6
2,"Panama",591,"1950-1955","Male",54.8
2,"Paraguay",600,"1950-1955","Male",56.1
2,"Peru",604,"1950-1955","Male",45.6
2,"Philippines",608,"1950-1955","Male",52.8
2,"Poland",616,"1950-1955","Male",57.8
2,"Portugal",620,"1950-1955","Male",57.4
2,"Guinea-Bissau",624,"1950-1955","Male",34
2,"Timor-Leste",626,"1950-1955","Male",28.2
2,"Puerto Rico",630,"1950-1955","Male",61
2,"Qatar",634,"1950-1955","Male",51.8
2,"Reunion",638,"1950-1955","Male",46.3
2,"Bhutan",64,"1950-1955","Male",29.8
2,"Romania",642,"1950-1955","Male",60.9
2,"Russian Federation",643,"1950-1955","Male",53.9
2,"Rwanda",646,"1950-1955","Male",43
2,"Saint Lucia",662,"1950-1955","Male",48.2
2,"Saint Vincent and the Grenadines",670,"1950-1955","Male",50.2
2,"Sao Tome and Principe",678,"1950-1955","Male",39.4
2,"Bolivia (Plurinational State of)",68,"1950-1955","Male",38.9
