"scenario","name","country_code","period","tfr"
2,"Bulgaria",100,"1950-1955",2.45
2,"Myanmar",104,"1950-1955",5.956
2,"Burundi",108,"1950-1955",6.914
2,"Belarus",112,"1950-1955",2.591
2,"Cambodia",116,"1950-1955",6.645
2,"Algeria",12,"1950-1955",7.304
2,"Cameroon",120,"1950-1955",5.496
2,"Canada",124,"1950-1955",3.628
2,"Cape Verde",132,"1950-1955",6.552
2,"Central African Republic",140,"1950-1955",5.757
2,"Sri Lanka",144,"1950-1955",5.51
2,"Chad",148,"1950-1955",6.092
2,"Chile",152,"1950-1955",4.795
2,"China",156,"1950-1955",6.061
2,"Taiwan Province of China",158,"1950-1955",6.639
2,"Colombia",170,"1950-1955",6.49
2,"Comoros",174,"1950-1955",5.94
2,"Congo",178,"1950-1955",6.062
2,"Democratic Republic of the Congo",180,"1950-1955",5.974
2,"Costa Rica",188,"1950-1955",6.442
2,"Croatia",191,"1950-1955",2.734
2,"Cuba",192,"1950-1955",3.951
2,"Cyprus",196,"1950-1955",3.648
2,"Czech Republic",203,"1950-1955",2.691
2,"Benin",204,"1950-1955",5.836
2,"Denmark",208,"1950-1955",2.544
2,"Dominican Republic",214,"1950-1955",7.584
2,"Ecuador",218,"1950-1955",6.746
2,"El Salvador",222,"1950-1955",6.361
2,"Equatorial Guinea",226,"1950-1955",5.668
2,"Ethiopia",231,"1950-1955",7.203
2,"Estonia",233,"1950-1955",2.255
2,"Angola",24,"1950-1955",5.955
2,"Fiji",242,"1950-1955",6.569
2,"Finland",246,"1950-1955",3.024
2,"France",250,"1950-1955",2.818
2,"French Guiana",254,"1950-1955",4.833
2,"French Polynesia",258,"1950-1955",5.732
2,"Gabon",266,"1950-1955",3.977
2,"Georgia",268,"1950-1955",2.881
2,"Gambia",270,"1950-1955",6.351
2,"Occupied Palestinian Territory",275,"1950-1955",7.834
2,"Germany",276,"1950-1955",2.119
2,"Ghana",288,"1950-1955",6.68
2,"Kiribati",296,"1950-1955",6.256
2,"Greece",300,"1950-1955",2.447
2,"Azerbaijan",31,"1950-1955",5.173
2,"Guadeloupe",312,"1950-1955",5.649
2,"Argentina",32,"1950-1955",3.155
2,"Guatemala",320,"1950-1955",6.923
2,"Guinea",324,"1950-1955",5.994
2,"Guyana",328,"1950-1955",5.978
2,"Haiti",332,"1950-1955",6.238
2,"Honduras",340,"1950-1955",7.493
2,"Hong Kong Special Administrative Region of China",344,"1950-1955",4.43
2,"Hungary",348,"1950-1955",2.674
2,"Iceland",352,"1950-1955",3.841
2,"India",356,"1950-1955",5.819
2,"Australia",36,"1950-1955",3.138
2,"Indonesia",360,"1950-1955",5.27
2,"Iran (Islamic Republic of)",364,"1950-1955",6.968
2,"Iraq",368,"1950-1955",6.608
2,"Ireland",372,"1950-1955",3.483
2,"Israel",376,"1950-1955",4.432
2,"Italy",380,"1950-1955",2.362
2,"Cote d'Ivoire",384,"1950-1955",7.606
2,"Jamaica",388,"1950-1955",4.144
2,"Japan",392,"1950-1955",3.007
2,"Kazakhstan",398,"1950-1955",4.47
2,"Afghanistan",4,"1950-1955",7.258
2,"Austria",40,"1950-1955",2.083
2,"Jordan",400,"1950-1955",7.397
2,"Kenya",404,"1950-1955",7.391
2,"Democratic People's Republic of Korea",408,"1950-1955",3.356
2,"Republic of Korea",410,"1950-1955",5.994
2,"Kuwait",414,"1950-1955",6.994
