country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Singapore,99.5,99.2,95.6,73.5,99.4,99.0,95.7,73.3,31.1,22.1,13.4,5.6,75.4,60.9,94.2,88.5,98.9,97.9,92.0,18.1,89.0,15.0,88.9,73.9,1970.0,0.0,0.0,0.3,1960–1970,20.4,Universal,Large Gain,1,1,91
Canada,99.6,99.4,91.7,52.7,100.0,100.0,100.0,100.0,94.6,82.9,57.9,22.4,98.1,93.6,99.0,96.4,99.4,98.6,85.8,64.5,80.5,55.8,100.0,21.4,1960.0,0.0,0.0,0.2,2010–2020,12.5,Universal,Moderate Progress,2,146,38
Cyprus,99.7,98.1,94.6,46.5,99.6,98.5,95.9,47.3,71.1,26.9,21.1,4.6,97.6,64.6,99.2,91.6,99.5,96.2,84.7,30.9,78.9,23.6,79.6,53.8,1960.0,0.0,0.0,1.6,1960–1970,18.9,Universal,Large Gain,3,25,38
Taiwan Province of China,100.0,99.6,96.5,41.5,100.0,100.0,100.0,76.2,64.2,16.3,7.9,1.6,94.2,53.6,99.7,96.6,99.9,98.9,84.4,22.5,78.0,15.5,91.5,61.9,1960.0,0.0,0.0,0.4,1970–1980,18.9,Universal,Large Gain,4,10,38
Hong Kong Special Administrative Region of China,99.8,98.0,91.9,45.6,100.0,100.0,100.0,94.3,41.9,22.4,14.6,5.3,75.6,44.5,95.5,83.7,99.1,94.7,83.8,21.0,77.8,16.8,98.0,62.8,1970.0,0.0,0.0,1.8,1980–1990,17.6,Universal,Large Gain,5,8,91
Ireland,99.6,98.9,94.3,42.7,100.0,100.0,100.0,88.1,99.2,50.4,33.0,9.9,99.6,77.1,99.6,93.8,99.6,97.8,83.9,48.1,77.6,37.9,95.8,35.8,1960.0,0.0,0.0,0.7,1970–1980,12.6,Universal,Strong Progress,6,89,38
Republic of Korea,100.0,99.9,95.6,40.2,100.0,100.0,100.0,56.5,64.4,22.7,11.4,1.3,96.3,70.1,99.6,98.0,99.9,99.7,83.9,25.0,77.3,17.8,84.5,58.9,1960.0,0.0,0.0,0.1,1960–1970,19.1,Universal,Large Gain,7,15,38
Armenia,99.7,99.3,96.8,35.9,99.6,99.2,96.8,36.5,97.9,85.9,70.8,11.2,99.7,98.6,99.8,99.3,99.8,99.2,82.9,66.4,76.0,56.6,76.2,16.5,1960.0,0.0,0.0,0.4,1960–1970,10.5,Universal,Early Achiever,8,167,38
Japan,99.9,99.9,91.8,39.4,99.9,99.8,92.0,40.4,99.8,90.0,54.2,4.3,99.9,99.9,99.9,99.9,99.9,99.9,82.7,62.1,76.0,50.6,76.4,20.7,1960.0,0.0,0.0,0.0,1960–1970,8.6,Universal,Moderate Progress,9,152,38
Bahamas,99.6,99.1,96.6,35.4,99.7,99.4,97.1,36.5,76.7,52.5,35.6,10.6,92.7,84.3,98.1,95.9,99.2,98.0,82.7,43.8,75.7,36.2,76.3,38.8,1960.0,0.0,0.0,0.5,1960–1970,16.3,Universal,Strong Progress,10,80,38
Australia,99.9,99.3,98.0,33.8,100.0,100.0,100.0,71.0,96.9,74.1,61.0,8.9,98.9,92.6,99.4,97.7,99.7,98.9,82.7,60.2,75.6,50.3,89.7,22.5,1960.0,0.0,0.0,0.6,1960–1970,9.2,Universal,Strong Progress,11,144,38
Australia and New Zealand,99.8,99.0,96.9,34.5,99.8,99.0,97.0,36.5,97.1,72.5,56.6,8.8,98.7,91.4,99.2,97.0,99.6,98.4,82.5,58.8,75.5,48.7,76.2,23.8,1960.0,0.0,0.0,0.9,1960–1970,9.6,Universal,Strong Progress,12,142,38
Georgia,99.5,98.6,94.5,36.6,100.0,100.0,100.0,73.7,96.8,90.1,78.7,18.8,99.1,97.7,99.5,98.7,99.5,98.6,82.3,71.1,75.4,62.3,90.6,11.2,1960.0,0.0,0.0,0.9,1960–1970,6.9,Universal,Early Achiever,13,183,38
New Caledonia,99.1,98.7,90.0,38.8,98.6,98.0,92.1,39.9,59.7,31.7,17.7,6.3,82.1,55.3,94.8,85.6,98.7,97.5,81.7,28.9,74.9,22.7,75.7,52.8,1965.0,0.0,0.0,0.4,1970–1980,13.1,Universal,Large Gain,14,29,81
New Zealand,99.5,97.1,91.8,37.9,100.0,100.0,100.0,80.3,98.1,65.8,37.4,8.5,98.2,85.6,98.3,93.8,99.1,96.1,81.6,52.5,74.8,41.8,93.0,29.1,1960.0,0.0,0.0,2.5,1960–1970,10.7,Universal,Strong Progress,15,117,38
Chile,98.5,97.2,87.8,41.5,100.0,100.0,100.0,55.8,58.5,30.6,17.2,3.1,80.3,59.1,93.2,83.9,97.5,94.6,81.2,27.3,74.8,20.9,84.2,53.9,1965.0,0.0,0.0,1.3,1970–1980,15.2,Universal,Large Gain,16,24,81
